step,layer,num_kv,deltaPKp_norm
0,4,1,0.0
0,4,1,0.0
1,5,1,0.0
0,4,1,0.0
1,5,1,0.0
2,6,1,0.0
0,4,1,0.0
1,5,1,0.0
2,6,1,0.0
3,7,1,0.0
0,4,1,0.0
1,5,1,0.0
2,6,1,0.0
3,7,1,0.0
4,8,1,0.0
0,4,1,0.0
0,4,1,0.0
1,5,1,2.0741538264701376e-08
0,4,1,0.0
1,5,1,2.0741538264701376e-08
2,6,1,6.398396124041028e-08
0,4,1,0.0
1,5,1,2.0741538264701376e-08
2,6,1,6.398396124041028e-08
3,7,1,2.5809567816281742e-08
0,4,1,0.0
1,5,1,2.0741538264701376e-08
2,6,1,6.398396124041028e-08
3,7,1,2.5809567816281742e-08
4,8,1,7.290536530035752e-08
0,4,1,3.1500189123789823e-08
0,4,1,3.1500189123789823e-08
1,5,1,2.2195978388594995e-08
0,4,1,3.1500189123789823e-08
1,5,1,2.2195978388594995e-08
2,6,1,6.029909371818576e-08
0,4,1,3.1500189123789823e-08
1,5,1,2.2195978388594995e-08
2,6,1,6.029909371818576e-08
3,7,1,6.489921844377022e-08
0,4,1,3.1500189123789823e-08
1,5,1,2.2195978388594995e-08
2,6,1,6.029909371818576e-08
3,7,1,6.489921844377022e-08
4,8,1,7.561513371001638e-08
0,4,1,3.204615950380685e-08
0,4,1,3.204615950380685e-08
1,5,1,0.0
0,4,1,3.204615950380685e-08
1,5,1,0.0
2,6,1,7.165738935555055e-08
0,4,1,3.204615950380685e-08
1,5,1,0.0
2,6,1,7.165738935555055e-08
3,7,1,1.7313584521616576e-07
0,4,1,3.204615950380685e-08
1,5,1,0.0
2,6,1,7.165738935555055e-08
3,7,1,1.7313584521616576e-07
4,8,1,3.2270563110614603e-07
0,4,1,3.7345920134157495e-08
0,4,1,3.7345920134157495e-08
1,5,1,0.0
0,4,1,3.7345920134157495e-08
1,5,1,0.0
2,6,1,1.215152991562718e-07
0,4,1,3.7345920134157495e-08
1,5,1,0.0
2,6,1,1.215152991562718e-07
3,7,1,1.2082811906566349e-07
0,4,1,3.7345920134157495e-08
1,5,1,0.0
2,6,1,1.215152991562718e-07
3,7,1,1.2082811906566349e-07
4,8,1,2.59168842831059e-07
0,4,1,0.0
0,4,1,0.0
1,5,1,4.70479228908971e-08
0,4,1,0.0
1,5,1,4.70479228908971e-08
2,6,1,9.468395489875547e-08
0,4,1,0.0
1,5,1,4.70479228908971e-08
2,6,1,9.468395489875547e-08
3,7,1,1.2377833513710357e-07
0,4,1,0.0
1,5,1,4.70479228908971e-08
2,6,1,9.468395489875547e-08
3,7,1,1.2377833513710357e-07
4,8,1,2.2450862502410018e-07
0,4,1,2.933296450180478e-08
0,4,1,2.933296450180478e-08
1,5,1,1.7670602758812493e-08
0,4,1,2.933296450180478e-08
1,5,1,1.7670602758812493e-08
2,6,1,8.940696716308594e-08
0,4,1,2.933296450180478e-08
1,5,1,1.7670602758812493e-08
2,6,1,8.940696716308594e-08
3,7,1,2.8855975386932187e-08
0,4,1,2.933296450180478e-08
1,5,1,1.7670602758812493e-08
2,6,1,8.940696716308594e-08
3,7,1,2.8855975386932187e-08
4,8,1,1.2555940998026927e-07
0,4,1,6.250277806429949e-08
0,4,1,6.250277806429949e-08
1,5,1,1.825012141409843e-08
0,4,1,6.250277806429949e-08
1,5,1,1.825012141409843e-08
2,6,1,1.1920928955078125e-07
0,4,1,6.250277806429949e-08
1,5,1,1.825012141409843e-08
2,6,1,1.1920928955078125e-07
3,7,1,1.1445798975273647e-07
0,4,1,6.250277806429949e-08
1,5,1,1.825012141409843e-08
2,6,1,1.1920928955078125e-07
3,7,1,1.1445798975273647e-07
4,8,1,3.295145063475502e-07
0,4,1,3.668985470994812e-08
0,4,1,3.668985470994812e-08
1,5,1,7.028863535651908e-08
0,4,1,3.668985470994812e-08
1,5,1,7.028863535651908e-08
2,6,1,6.029909371818576e-08
0,4,1,3.668985470994812e-08
1,5,1,7.028863535651908e-08
2,6,1,6.029909371818576e-08
3,7,1,1.1897623153345194e-07
0,4,1,3.668985470994812e-08
1,5,1,7.028863535651908e-08
2,6,1,6.029909371818576e-08
3,7,1,1.1897623153345194e-07
4,8,1,2.1132609617779963e-07
0,4,1,5.777203426760025e-08
0,4,1,5.777203426760025e-08
1,5,1,4.7852221740640744e-08
0,4,1,5.777203426760025e-08
1,5,1,4.7852221740640744e-08
2,6,1,1.6809275393825374e-07
